Date,Open,High,Low,Close,Volume,Ticker,Year-Month
1/20/21,1831.46,1903.71,1825.53,1886.9,2490258,GOOG,2021-1
1/21/21,1898,1934.86,1887.11,1891.25,2063932,GOOG,2021-1
1/22/21,1895.68,1910.95,1881.76,1901.05,1272232,GOOG,2021-1
1/25/21,1920.67,1929.58,1867.53,1899.4,1927320,GOOG,2021-1
1/26/21,1888.84,1925,1884.25,1917.24,1313139,GOOG,2021-1
1/27/21,1882.53,1890,1809,1830.79,2748292,GOOG,2021-1
1/28/21,1843.94,1898.83,1842.64,1863.11,1773138,GOOG,2021-1
1/29/21,1846.17,1857.28,1810.2,1835.74,1612552,GOOG,2021-1
1/4/21,222.53,223,214.81,217.69,37130139,MSFT,2021-1
1/5/21,217.26,218.52,215.7,217.9,23822953,MSFT,2021-1
1/6/21,212.17,216.49,211.94,212.25,35930653,MSFT,2021-1
1/7/21,214.04,219.34,213.71,218.29,27694480,MSFT,2021-1
1/8/21,218.68,220.58,217.03,219.62,22956206,MSFT,2021-1
1/11/21,218.47,218.91,216.73,217.49,23047029,MSFT,2021-1
1/12/21,216.5,217.1,213.32,214.93,23249336,MSFT,2021-1
1/13/21,214.02,216.76,213.93,216.34,20087080,MSFT,2021-1
1/14/21,215.91,217.46,212.74,213.02,29346737,MSFT,2021-1
1/15/21,213.52,214.51,212.03,212.65,31746512,MSFT,2021-1
1/19/21,213.75,216.98,212.63,216.44,30480859,MSFT,2021-1
1/20/21,217.7,225.79,217.29,224.34,37777260,MSFT,2021-1
1/21/21,224.7,226.3,222.42,224.97,30749553,MSFT,2021-1
1/22/21,227.08,230.07,225.8,225.95,30172663,MSFT,2021-1
1/25/21,229.12,229.78,224.22,229.53,33152095,MSFT,2021-1
1/26/21,231.86,234.18,230.08,232.33,49169601,MSFT,2021-1
1/27/21,238,240.44,230.14,232.9,69870638,MSFT,2021-1
1/28/21,235.61,242.64,235.09,238.93,49111159,MSFT,2021-1
1/29/21,235.99,238.02,231.35,231.96,42503138,MSFT,2021-1
1/4/21,719.46,744.49,717.19,729.77,48638189,TSLA,2021-1
1/5/21,723.66,740.84,719.2,735.11,32245165,TSLA,2021-1
1/6/21,758.49,774,749.1,755.98,44699965,TSLA,2021-1
1/7/21,777.63,816.99,775.2,816.04,51498948,TSLA,2021-1
1/8/21,856,884.49,838.39,880.02,75055528,TSLA,2021-1
1/11/21,849.4,854.43,803.62,811.19,59554146,TSLA,2021-1
1/12/21,831,868,827.34,849.44,46270720,TSLA,2021-1
1/13/21,852.76,860.47,832,854.41,33312496,TSLA,2021-1
1/14/21,843.39,863,838.75,845,31266327,TSLA,2021-1
1/15/21,852,859.9,819.1,826.16,38777596,TSLA,2021-1
1/19/21,837.8,850,833,844.55,25366980,TSLA,2021-1
1/20/21,858.74,859.5,837.28,850.45,25665883,TSLA,2021-1
1/21/21,855,855.72,841.42,844.99,20598133,TSLA,2021-1
1/22/21,834.31,848,828.62,846.64,20066497,TSLA,2021-1
1/25/21,855,900.4,838.82,880.8,41173397,TSLA,2021-1
1/26/21,891.38,895.9,871.6,883.09,23131603,TSLA,2021-1
